Naca foil,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Mach,Reynolds number,Max thickness,Max thickness location,Max camber,Max camber location,TE gap,LE radius,TE angle
12,-9.5,-1.1399,0.01025,0.00601,-0.0071,0.9979,0.0137,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9,-1.0723,0.00958,0.00532,-0.0076,0.9959,0.0157,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8.5,-1.0049,0.00905,0.00478,-0.0083,0.9927,0.0173,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8,-0.9434,0.00855,0.00427,-0.0077,0.9836,0.0198,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7.5,-0.8862,0.00812,0.00382,-0.0063,0.9698,0.023,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7,-0.8288,0.00773,0.00342,-0.005,0.9526,0.0265,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6.5,-0.7708,0.00738,0.00304,-0.0039,0.9304,0.0314,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6,-0.7123,0.00708,0.0027,-0.003,0.9038,0.0375,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5.5,-0.6534,0.00681,0.00238,-0.0023,0.8721,0.0455,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5,-0.5942,0.00657,0.0021,-0.0017,0.8355,0.0563,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4.5,-0.5351,0.00633,0.00183,-0.0012,0.7951,0.0718,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4,-0.4759,0.00611,0.00159,-0.0009,0.7525,0.0933,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3,-0.3573,0.00573,0.00121,-0.0003,0.6633,0.1509,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2.5,-0.298,0.00555,0.00105,-0.0002,0.6195,0.19,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2,-0.2385,0.00543,0.00093,-0.0001,0.5747,0.228,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1.5,-0.179,0.0053,0.00083,0,0.533,0.2721,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1,-0.1194,0.00523,0.00077,0,0.4882,0.3149,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-0.5,-0.0597,0.00518,0.00073,0,0.4455,0.3576,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0,0,0.00515,0.00072,0,0.4032,0.4024,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0.5,0.0597,0.00518,0.00073,0,0.3573,0.4455,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1,0.1195,0.00522,0.00077,0,0.3157,0.4887,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1.5,0.1791,0.00529,0.00083,0,0.2727,0.5324,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2,0.2386,0.00543,0.00093,0.0001,0.2282,0.5747,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2.5,0.298,0.00556,0.00105,0.0002,0.189,0.6196,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3,0.3573,0.00573,0.0012,0.0003,0.1512,0.6639,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3.5,0.4167,0.00591,0.00139,0.0005,0.1198,0.7076,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4,0.4759,0.00611,0.00159,0.0009,0.0932,0.7525,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4.5,0.5351,0.00633,0.00183,0.0012,0.0719,0.7951,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5,0.5942,0.00657,0.0021,0.0017,0.0568,0.8356,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,5.5,0.6534,0.00681,0.00238,0.0023,0.0455,0.872,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,6,0.7123,0.00708,0.0027,0.003,0.0375,0.9037,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,6.5,0.7708,0.00738,0.00304,0.0039,0.0314,0.9305,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7,0.8287,0.00773,0.00342,0.005,0.0265,0.9527,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7.5,0.8862,0.00811,0.00382,0.0063,0.023,0.9698,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8,0.9434,0.00855,0.00427,0.0077,0.0198,0.9837,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8.5,1.005,0.00905,0.00477,0.0082,0.0173,0.9927,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9,1.0725,0.00958,0.00532,0.0076,0.0157,0.9959,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9.5,1.1401,0.01025,0.006,0.007,0.0137,0.9979,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,10,1.2074,0.01087,0.00667,0.0067,0.0127,0.9996,0.3,6000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-10,-1.2042,0.01051,0.00638,-0.0076,0.9989,0.0123,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9.5,-1.1371,0.00988,0.00572,-0.0079,0.9969,0.0135,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9,-1.0692,0.00927,0.0051,-0.0085,0.9945,0.0152,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8.5,-1.0067,0.00879,0.0046,-0.008,0.9873,0.0167,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
